User_id;Active_days;Songs_per_day;Music_genres_per_day;Numer_devices;Proportion_working_time;Searches_per_day;Proportion_popular_songs;NORTHAMERICA;EU;ASIA;Premium_upgrade
1;267;28;3;5;0;0;0.02807482;1;0;0;0
2;242;30;4;2;0;0;0.024687337;1;0;0;0
3;265;27;3;3;0.567737496;8;0.015515292;1;0;0;1
4;88;10;1;1;0;2;0.017255847;0;0;1;0
5;225;62;5;3;0;20;0.000565837;0;0;1;1
6;49;46;3;2;0.455561098;14;0.005055767;0;0;1;0
7;202;42;4;1;0;4;4,55E+00;1;0;0;0
8;108;56;3;2;0;9;0.009087716;0;0;1;0
9;215;27;2;1;0;5;0.009639278;0;1;0;0
10;94;59;3;2;0;17;0.008889126;0;1;0;0
11;212;42;5;1;0.629640904;3;0.01022649;1;0;0;1
12;140;35;3;1;0.309836638;0;0.006690327;1;0;0;0
13;150;40;4;3;0.794307046;0;0.023921941;0;0;1;0
14;94;86;4;3;0.20364994;0;0.002140282;0;1;0;0
15;193;34;3;1;0;6;0.013861244;1;0;0;0
16;191;53;5;1;0.124069692;0;0.006086876;1;0;0;0
17;166;27;2;1;0;9;0.024536675;0;0;1;0
18;49;38;3;1;0;12;0.003985153;0;0;1;0
19;27;15;3;3;0;9;0.057251835;0;0;1;0
20;216;56;3;4;0;0;0.01664417;0;1;0;0
21;79;24;2;2;0;14;0.004399833;1;0;0;0
22;302;54;4;2;0.593099482;5;0.010999455;1;0;0;0
23;40;20;3;1;0;10;0.01615178;1;0;0;0
24;170;47;4;2;0;17;0.012310882;0;1;0;1
25;167;20;3;3;0;18;0.02224181;0;1;0;1
26;183;39;2;2;0;16;0.018268212;0;0;1;0
27;230;28;3;3;0;0;0.012182531;0;0;1;0
28;66;51;4;3;0.546356461;4;0.015115126;1;0;0;0
29;7;4;1;3;0;3;0.158122299;0;0;1;0
30;194;55;4;1;0.954768443;2;0.013444293;0;1;0;1
31;104;17;3;3;0;12;0.021227403;1;0;0;0
32;257;45;3;3;0.429986766;0;0.006017547;0;1;0;0
33;40;31;2;1;0;13;0.014854509;0;0;1;0
34;114;76;5;2;0;0;0.005441903;0;0;1;0
35;281;62;5;3;0;13;0.015311371;0;1;0;0
36;242;17;4;1;0;11;0.009956782;1;0;0;0
37;301;66;4;3;0.562364216;0;0.009631674;0;1;0;0
38;62;46;3;1;0;17;0.008120334;0;0;1;0
39;168;42;2;3;0.651480877;4;0.005016148;0;0;1;1
40;126;44;4;2;0.515847719;0;0.009329107;0;0;1;0
41;113;65;4;1;0.7047008;0;0.012914702;0;0;1;0
